T          	Er(t)      	Ephi(t)    	Ez(t)      	Hr(t)      	Hphi(t)    	Hz(t)      	Jr(t)      	Jphi(t)    	Jz(t)      
3.10625    	7.94454e-010	1.05653e-009	-1.90221e-017	1.57936e-017	3.29989e-019	5.65038e-010	-0.0384355 	0.136811   	-3.30796e-009	
3.15       	8.03871e-010	1.01203e-009	-1.69014e-017	1.35666e-017	-1.98025e-018	5.10922e-010	-0.0384063 	0.136489   	-3.17516e-009	
3.19375    	8.12387e-010	9.71809e-010	-1.47331e-017	1.15629e-017	-4.44353e-018	4.60386e-010	-0.0383335 	0.135913   	-3.04382e-009	
3.2375     	8.2006e-010	9.36207e-010	-1.24749e-017	9.79877e-018	-7.20172e-018	4.15038e-010	-0.0382248 	0.135068   	-2.90926e-009	
3.28125    	8.26977e-010	9.03636e-010	-9.99753e-018	8.20844e-018	-1.02961e-017	3.74268e-010	-0.0380879 	0.13394    	-2.7663e-009	
3.325      	8.33215e-010	8.71757e-010	-7.1941e-018	6.69507e-018	-1.35693e-017	3.35956e-010	-0.0379311 	0.13253    	-2.61169e-009	
3.36875    	8.38814e-010	8.38899e-010	-4.10392e-018	5.1904e-018	-1.66718e-017	2.97847e-010	-0.0377625 	0.130854   	-2.4452e-009	
3.4125     	8.43778e-010	8.0493e-010	-9.70982e-019	3.68938e-018	-1.91919e-017	2.58818e-010	-0.0375901 	0.128932   	-2.26862e-009	
3.45625    	8.48092e-010	7.7108e-010	1.81525e-018	2.24003e-018	-2.08479e-017	2.19342e-010	-0.0374211 	0.126782   	-2.08358e-009	
3.5        	8.51748e-010	7.38841e-010	3.88288e-018	8.95498e-019	-2.16376e-017	1.80894e-010	-0.0372624 	0.124407   	-1.8902e-009	
3.54375    	8.54762e-010	7.08637e-010	5.06198e-018	-3.40389e-019	-2.18465e-017	1.44668e-010	-0.0371203 	0.121807   	-1.68752e-009	
3.5875     	8.57174e-010	6.79158e-010	5.48186e-018	-1.53757e-018	-2.1902e-017	1.1043e-010	-0.0370008 	0.118985   	-1.47556e-009	
3.63125    	8.59014e-010	6.47826e-010	5.51403e-018	-2.81525e-018	-2.21539e-017	7.6283e-011	-0.0369102 	0.115958   	-1.25692e-009	
3.675      	8.60286e-010	6.1216e-010	5.58466e-018	-4.2812e-018	-2.27156e-017	3.95475e-011	-0.036854  	0.112754   	-1.03655e-009	
3.71875    	8.60945e-010	5.71187e-010	5.96546e-018	-5.97276e-018	-2.34707e-017	-1.75621e-012	-0.0368375 	0.109401   	-8.19586e-010	
3.7625     	8.60915e-010	5.25968e-010	6.67333e-018	-7.8381e-018	-2.42363e-017	-4.7768e-011	-0.0368649 	0.105918   	-6.08989e-010	
3.80625    	8.60119e-010	4.78872e-010	7.5428e-018	-9.77103e-018	-2.49682e-017	-9.67485e-011	-0.0369397 	0.102315   	-4.04837e-010	
3.85       	8.58507e-010	4.32059e-010	8.4201e-018	-1.1677e-017	-2.58537e-017	-1.46193e-010	-0.0370652 	0.0986028  	-2.05873e-010	
3.89375    	8.5607e-010	3.86203e-010	9.33951e-018	-1.35257e-017	-2.72145e-017	-1.9437e-010	-0.0372441 	0.0948021  	-1.1855e-011	
3.9375     	8.52831e-010	3.40322e-010	1.05479e-017	-1.53555e-017	-2.92759e-017	-2.41248e-010	-0.0374788 	0.0909458  	1.75366e-010	
3.98125    	8.4881e-010	2.92813e-010	1.23476e-017	-1.72263e-017	-3.19681e-017	-2.88186e-010	-0.0377708 	0.0870706  	3.52976e-010	
4.025      	8.44007e-010	2.42934e-010	1.48614e-017	-1.91589e-017	-3.49124e-017	-3.36628e-010	-0.0381211 	0.0832061  	5.19473e-010	
4.06875    	8.38396e-010	1.91626e-010	1.78915e-017	-2.11035e-017	-3.76175e-017	-3.86748e-010	-0.0385295 	0.0793707  	6.75949e-010	
4.1125     	8.31951e-010	1.41068e-010	2.09876e-017	-2.29637e-017	-3.97564e-017	-4.37065e-010	-0.0389953 	0.0755776  	8.25127e-010	
4.15625    	8.24666e-010	9.32751e-011	2.36894e-017	-2.46579e-017	-4.13256e-017	-4.85298e-010	-0.0395172 	0.0718447  	9.68891e-010	
4.2        	8.16578e-010	4.88045e-011	2.578e-017 	-2.61721e-017	-4.25694e-017	-5.29853e-010	-0.0400935 	0.0681984  	1.1065e-009	
4.24375    	8.07747e-010	6.55717e-012	2.73658e-017	-2.75627e-017	-4.37286e-017	-5.70806e-010	-0.0407223 	0.0646691  	1.23505e-009	
4.2875     	7.98234e-010	-3.51588e-011	2.87253e-017	-2.89074e-017	-4.48095e-017	-6.09629e-010	-0.0414007 	0.0612795  	1.35181e-009	
4.33125    	7.88073e-010	-7.71115e-011	3.00434e-017	-3.02405e-017	-4.55575e-017	-6.47864e-010	-0.0421253 	0.0580393  	1.45624e-009	
4.375      	7.77275e-010	-1.18348e-010	3.12361e-017	-3.15224e-017	-4.5662e-017	-6.85736e-010	-0.0428922 	0.054948   	1.55001e-009	
4.41875    	7.65846e-010	-1.56735e-010	3.20088e-017	-3.26669e-017	-4.50311e-017	-7.21795e-010	-0.0436973 	0.0520048  	1.63492e-009	
4.4625     	7.53816e-010	-1.9042e-010	3.21042e-017	-3.36042e-017	-4.39109e-017	-7.53853e-010	-0.0445366 	0.0492153  	1.71078e-009	
4.50625    	7.41252e-010	-2.19044e-010	3.15446e-017	-3.43297e-017	-4.2743e-017	-7.80491e-010	-0.0454061 	0.0465894  	1.7753e-009	
4.55       	7.28244e-010	-2.43765e-010	3.06655e-017	-3.48992e-017	-4.1861e-017	-8.01943e-010	-0.0463016 	0.0441322  	1.82614e-009	
4.59375    	7.14878e-010	-2.66073e-010	2.99026e-017	-3.53759e-017	-4.12648e-017	-8.19672e-010	-0.0472188 	0.0418376  	1.86324e-009	
4.6375     	7.01217e-010	-2.86384e-010	2.94899e-017	-3.57722e-017	-4.06555e-017	-8.34992e-010	-0.0481533 	0.0396899  	1.88933e-009	
4.68125    	6.87301e-010	-3.03562e-010	2.93094e-017	-3.60346e-017	-3.97035e-017	-8.4786e-010	-0.0491009 	0.0376728  	1.90804e-009	
4.725      	6.7317e-010	-3.1577e-010	2.90137e-017	-3.60847e-017	-3.83315e-017	-8.56829e-010	-0.0500579 	0.0357783  	1.9214e-009	
4.76875    	6.58889e-010	-3.21952e-010	2.83249e-017	-3.58828e-017	-3.67776e-017	-8.60212e-010	-0.0510208 	0.0340067  	1.92902e-009	
4.8125     	6.44552e-010	-3.22721e-010	2.72658e-017	-3.5462e-017	-3.53845e-017	-8.57488e-010	-0.0519865 	0.0323588  	1.92962e-009	
4.85625    	6.30261e-010	-3.19918e-010	2.61329e-017	-3.49039e-017	-3.42934e-017	-8.49809e-010	-0.0529516 	0.0308288  	1.9234e-009	
4.9        	6.16097e-010	-3.1523e-010	2.52319e-017	-3.42785e-017	-3.33042e-017	-8.3918e-010	-0.0539129 	0.0294039  	1.91302e-009	
4.94375    	6.02111e-010	-3.09017e-010	2.46001e-017	-3.35969e-017	-3.20295e-017	-8.27013e-010	-0.0548673 	0.0280716  	1.90199e-009	
4.9875     	5.88327e-010	-3.00341e-010	2.3955e-017	-3.28184e-017	-3.02184e-017	-8.13257e-010	-0.0558123 	0.0268279  	1.8922e-009	
5.03125    	5.74773e-010	-2.88139e-010	2.29201e-017	-3.1903e-017	-2.79757e-017	-7.96821e-010	-0.0567452 	0.0256781  	1.88268e-009	
5.075      	5.61493e-010	-2.72532e-010	2.13421e-017	-3.08651e-017	-2.56885e-017	-7.76914e-010	-0.0576637 	0.0246292  	1.8709e-009	
5.11875    	5.48544e-010	-2.5512e-010	1.94323e-017	-2.97802e-017	-2.37182e-017	-7.5414e-010	-0.0585654 	0.0236817  	1.85535e-009	
5.1625     	5.35975e-010	-2.38013e-010	1.76064e-017	-2.8739e-017	-2.21202e-017	-7.30398e-010	-0.0594476 	0.0228273  	1.83695e-009	
5.20625    	5.23802e-010	-2.22406e-010	1.61562e-017	-2.77875e-017	-2.06338e-017	-7.0766e-010	-0.0603078 	0.0220551  	1.81797e-009	
5.25       	5.12008e-010	-2.07927e-010	1.50334e-017	-2.69041e-017	-1.89501e-017	-6.86673e-010	-0.0611437 	0.0213597  	1.79961e-009	
5.29375    	5.00563e-010	-1.93305e-010	1.39298e-017	-2.60327e-017	-1.70213e-017	-6.66677e-010	-0.0619534 	0.0207427  	1.78053e-009	
5.3375     	4.89452e-010	-1.77733e-010	1.2585e-017	-2.51423e-017	-1.51372e-017	-6.46372e-010	-0.0627349 	0.0202079  	1.75796e-009	
5.38125    	4.78679e-010	-1.6175e-010	1.105e-017 	-2.42595e-017	-1.36941e-017	-6.25268e-010	-0.0634866 	0.0197522  	1.73015e-009	
5.425      	4.68258e-010	-1.46841e-010	9.67202e-018	-2.34466e-017	-1.2857e-017	-6.04232e-010	-0.0642064 	0.0193646  	1.69808e-009	
5.46875    	4.58187e-010	-1.34149e-010	8.80724e-018	-2.2745e-017	-1.24132e-017	-5.84773e-010	-0.0648926 	0.0190312  	1.66459e-009	
5.5125     	4.48441e-010	-1.23419e-010	8.51277e-018	-2.21341e-017	-1.19496e-017	-5.67691e-010	-0.065544  	0.0187435  	1.6319e-009	
5.55625    	4.3898e-010	-1.13149e-010	8.48911e-018	-2.15437e-017	-1.12015e-017	-5.52309e-010	-0.0661593 	0.0185013  	1.59988e-009	
5.6        	4.29774e-010	-1.01805e-010	8.32894e-018	-2.09091e-017	-1.02625e-017	-5.36967e-010	-0.0667377 	0.018308   	1.56672e-009	
5.64375    	4.20825e-010	-8.90438e-011	7.8551e-018	-2.02203e-017	-9.47068e-018	-5.20367e-010	-0.0672785 	0.0181623  	1.53132e-009	
5.6875     	4.12152e-010	-7.58683e-011	7.24965e-018	-1.95236e-017	-9.07257e-018	-5.02575e-010	-0.0677807 	0.0180557  	1.49502e-009	
5.73125    	4.03776e-010	-6.36142e-011	6.85974e-018	-1.88736e-017	-8.97054e-018	-4.84827e-010	-0.0682436 	0.0179772  	1.46087e-009	
5.775      	3.95695e-010	-5.26904e-011	6.85499e-018	-1.82819e-017	-8.78529e-018	-4.68331e-010	-0.0686666 	0.0179212  	1.43123e-009	
5.81875    	3.8789e-010	-4.22191e-011	7.04675e-018	-1.77067e-017	-8.18121e-018	-4.53162e-010	-0.0690495 	0.0178899  	1.40583e-009	
5.8625     	3.80337e-010	-3.08863e-011	7.03601e-018	-1.70941e-017	-7.16209e-018	-4.38224e-010	-0.0693922 	0.0178893  	1.38233e-009	
5.90625    	3.73033e-010	-1.8219e-011	6.56037e-018	-1.6431e-017	-6.06809e-018	-4.22321e-010	-0.0696946 	0.0179213  	1.35873e-009	
5.95       	3.65995e-010	-5.11466e-012	5.72782e-018	-1.57627e-017	-5.2741e-018	-4.05334e-010	-0.0699563 	0.0179796  	1.33529e-009	
5.99375    	3.59239e-010	6.86604e-012	4.92399e-018	-1.5157e-017	-4.86234e-018	-3.88435e-010	-0.0701771 	0.0180551  	1.31415e-009	
6.0375     	3.52765e-010	1.68064e-011	4.47421e-018	-1.46479e-017	-4.56711e-018	-3.73132e-010	-0.070357  	0.018142   	1.29695e-009	
6.08125    	3.46546e-010	2.51608e-011	4.3653e-018	-1.421e-017	-4.04165e-018	-3.60007e-010	-0.0704962 	0.0182422  	1.28298e-009	
6.125      	3.40546e-010	3.32527e-011	4.27969e-018	-1.37849e-017	-3.20092e-018	-3.48282e-010	-0.0705951 	0.0183608  	1.26956e-009	
6.16875    	3.34742e-010	4.20181e-011	3.9099e-018	-1.33366e-017	-2.32207e-018	-3.36593e-010	-0.0706539 	0.0184987  	1.25441e-009	
6.2125     	3.29132e-010	5.11498e-011	3.26391e-018	-1.28831e-017	-1.80641e-018	-3.24256e-010	-0.0706729 	0.0186496  	1.2377e-009	
6.25625    	3.23728e-010	5.94187e-011	2.67796e-018	-1.2477e-017	-1.81943e-018	-3.1187e-010	-0.0706524 	0.0188038  	1.22175e-009	
6.3        	3.1853e-010	6.58594e-011	2.52164e-018	-1.21534e-017	-2.14068e-018	-3.0071e-010	-0.0705927 	0.0189552  	1.20865e-009	
6.34375    	3.13518e-010	7.07121e-011	2.86397e-018	-1.18936e-017	-2.36315e-018	-2.91498e-010	-0.0704947 	0.0191052  	1.1983e-009	
6.3875     	3.0866e-010	7.52505e-011	3.40831e-018	-1.16384e-017	-2.25895e-018	-2.83678e-010	-0.070359  	0.0192587  	1.18861e-009	
6.43125    	3.03932e-010	8.06573e-011	3.75757e-018	-1.13394e-017	-1.9728e-018	-2.7588e-010	-0.0701866 	0.0194174  	1.17776e-009	
6.475      	2.99334e-010	8.69929e-011	3.76621e-018	-1.09997e-017	-1.8648e-018	-2.67121e-010	-0.0699781 	0.0195761  	1.16625e-009	
6.51875    	2.94882e-010	9.32049e-011	3.65461e-018	-1.06673e-017	-2.15106e-018	-2.57651e-010	-0.0697343 	0.0197267  	1.15655e-009	
6.5625     	2.90587e-010	9.81554e-011	3.78104e-018	-1.03879e-017	-2.68036e-018	-2.48662e-010	-0.0694558 	0.0198645  	1.15087e-009	
6.60625    	2.86443e-010	1.01696e-010	4.28555e-018	-1.01617e-017	-3.05882e-018	-2.4114e-010	-0.0691439 	0.0199922  	1.14906e-009	
6.65       	2.82424e-010	1.04791e-010	4.9401e-018	-9.94405e-018	-3.00773e-018	-2.34948e-010	-0.0687997 	0.0201157  	1.14883e-009	
6.69375    	2.78508e-010	1.08582e-010	5.34753e-018	-9.68921e-018	-2.61939e-018	-2.28978e-010	-0.0684241 	0.0202377  	1.14804e-009	
6.7375     	2.74692e-010	1.1329e-010	5.30486e-018	-9.395e-018	-2.26967e-018	-2.22216e-010	-0.0680182 	0.0203542  	1.14672e-009	
6.78125    	2.70988e-010	1.17984e-010	4.99088e-018	-9.10662e-018	-2.26835e-018	-2.14721e-010	-0.0675829 	0.0204578  	1.14691e-009	
6.825      	2.6741e-010	1.21438e-010	4.80097e-018	-8.87563e-018	-2.57578e-018	-2.07587e-010	-0.0671191 	0.0205445  	1.15041e-009	
6.86875    	2.6395e-010	1.23258e-010	4.98271e-018	-8.71305e-018	-2.85255e-018	-2.01933e-010	-0.0666281 	0.0206171  	1.15676e-009	
6.9125     	2.60584e-010	1.24226e-010	5.41391e-018	-8.58048e-018	-2.79458e-018	-1.97876e-010	-0.0661111 	0.0206814  	1.16347e-009	
6.95625    	2.57286e-010	1.25547e-010	5.73139e-018	-8.42723e-018	-2.43465e-018	-1.94437e-010	-0.0655694 	0.0207399  	1.16827e-009	
7          	2.54046e-010	1.27707e-010	5.68794e-018	-8.23801e-018	-2.12264e-018	-1.90478e-010	-0.065004  	0.0207887  	1.1712e-009	
7.04375    	2.50871e-010	1.30039e-010	5.39888e-018	-8.04612e-018	-2.20087e-018	-1.85757e-010	-0.0644158 	0.0208207  	1.17441e-009	
