r          	Er(r)      	Ephi(r)    	Ez(r)      	Hr(r)      	Hphi(r)    	Hz(r)      	Jr(r)      	Jphi(r)    	Jz(r)      
1.73573e-11	-1.33296e-12	-7.32617e-20	3.72       	3.96176e-20	1.63463e-20	1.23656e-12	0.00294759 	-0.000201041	-1.21972e-12
7.74633e-12	-1.58818e-12	-4.78209e-20	3.78       	3.27711e-20	3.37608e-20	1.21446e-12	-0.00101569	-0.000159666	-6.18704e-13
-1.17968e-10	-1.67737e-12	-6.64427e-20	3.84       	-5.29312e-20	1.70337e-20	1.20586e-12	-0.0043262 	-8.07241e-05	-1.89405e-13
-1.81831e-10	1.61624e-13	-3.89726e-20	3.9        	-9.47221e-20	3.25805e-20	1.18289e-12	-0.00238136	-5.84157e-06	-5.21297e-14
-8.07667e-11	2.92196e-12	-6.23327e-20	3.96       	-2.58628e-20	1.47313e-20	1.17561e-12	-0.000244513	7.61969e-06	-1.2292e-14
3.47445e-12	4.08138e-12	-3.76425e-20	4.02       	2.9909e-20 	2.96177e-20	1.1548e-12 	0          	0          	0          
3.36223e-12	3.97829e-12	-6.09344e-20	4.08       	3.00454e-20	1.50731e-20	1.1482e-12 	0          	0          	0          
3.25893e-12	3.8691e-12 	-3.69212e-20	4.14       	2.98606e-20	2.9319e-20 	1.12839e-12	0          	0          	0          
3.15796e-12	3.77555e-12	-5.92995e-20	4.2        	2.99594e-20	1.63565e-20	1.12223e-12	0          	0          	0          
3.06398e-12	3.67513e-12	-3.65435e-20	4.26       	2.96735e-20	2.88249e-20	1.10403e-12	0          	0          	0          
2.96877e-12	3.58953e-12	-5.76077e-20	4.32       	2.98518e-20	1.77699e-20	1.09841e-12	0          	0          	0          
2.88187e-12	3.49664e-12	-3.62748e-20	4.38       	2.95727e-20	2.81504e-20	1.0814e-12 	0          	0          	0          
2.79702e-12	3.41881e-12	-5.58547e-20	4.44       	2.98119e-20	1.93189e-20	1.07548e-12	0          	0          	0          
2.71376e-12	3.3328e-12 	-3.61758e-20	4.5        	2.96247e-20	2.74128e-20	1.05976e-12	0          	0          	0          
2.63563e-12	3.26146e-12	-5.41073e-20	4.56       	2.9756e-20 	2.0735e-20 	1.05397e-12	0          	0          	0          
2.56063e-12	3.18152e-12	-3.62281e-20	4.62       	2.94834e-20	2.67239e-20	1.03944e-12	0          	0          	0          
2.48841e-12	3.1159e-12 	-5.22478e-20	4.68       	2.97174e-20	2.21516e-20	1.03359e-12	0          	0          	0          
2.41607e-12	3.04174e-12	-3.64186e-20	4.74       	2.95196e-20	2.59825e-20	1.02028e-12	0          	0          	0          
2.34917e-12	2.98168e-12	-5.04092e-20	4.8        	2.98097e-20	2.36041e-20	1.01406e-12	0          	0          	0          
2.28515e-12	2.91271e-12	-3.67276e-20	4.86       	2.95395e-20	2.52028e-20	1.00267e-12	0          	0          	0          
2.22365e-12	2.85696e-12	-4.85448e-20	4.92       	2.9812e-20 	2.49061e-20	9.96129e-13	0          	0          	0          
2.16175e-12	2.79311e-12	-3.71074e-20	4.98       	2.95792e-20	2.45603e-20	9.8617e-13 	0          	0          	0          
2.10432e-12	2.74115e-12	-4.67453e-20	5.04       	2.98368e-20	2.61374e-20	9.78858e-13	0          	0          	0          
2.04652e-12	2.68217e-12	-3.74616e-20	5.1        	2.96623e-20	2.40645e-20	9.69949e-13	0          	0          	0          
1.99272e-12	2.63346e-12	-4.51186e-20	5.16       	2.98481e-20	2.71921e-20	9.62623e-13	0          	0          	0          
1.94052e-12	2.57841e-12	-3.77591e-20	5.22       	2.96527e-20	2.36778e-20	9.54536e-13	0          	0          	0          
1.88987e-12	2.53312e-12	-4.34777e-20	5.28       	2.98793e-20	2.81288e-20	9.47034e-13	0          	0          	0          
1.841e-12  	2.48197e-12	-3.81244e-20	5.34       	2.97552e-20	2.32833e-20	9.40264e-13	0          	0          	0          
1.7931e-12 	2.43944e-12	-4.1855e-20	5.4        	2.99784e-20	2.90077e-20	9.32322e-13	0          	0          	0          
1.7464e-12 	2.39213e-12	-3.84965e-20	5.46       	2.98062e-20	2.2949e-20 	9.26889e-13	0          	0          	0          
1.7026e-12 	2.35177e-12	-4.03846e-20	5.52       	3.00257e-20	2.97868e-20	9.18539e-13	0          	0          	0          
1.65961e-12	2.30812e-12	-3.87055e-20	5.58       	2.99099e-20	2.27777e-20	9.13708e-13	0          	0          	0          
1.61751e-12	2.27031e-12	-3.91057e-20	5.64       	3.00709e-20	3.04159e-20	9.05308e-13	0          	0          	0          
1.57614e-12	2.22965e-12	-3.89327e-20	5.7        	2.99808e-20	2.27254e-20	9.01303e-13	0          	0          	0          
1.53785e-12	2.19376e-12	-3.78643e-20	5.76       	3.02e-20   	3.0938e-20 	8.92822e-13	0          	0          	0          
1.49902e-12	2.15606e-12	-3.90983e-20	5.82       	3.00546e-20	2.27114e-20	8.89787e-13	0          	0          	0          
1.4619e-12 	2.12172e-12	-3.67734e-20	5.88       	3.01841e-20	3.13758e-20	8.81373e-13	0          	0          	0          
1.42721e-12	2.08664e-12	-3.9151e-20	5.94       	3.01647e-20	2.28023e-20	8.78392e-13	0          	0          	0          
1.39112e-12	2.05441e-12	-3.57717e-20	6          	3.02927e-20	3.17654e-20	8.70058e-13	0          	0          	0          
1.3581e-12 	2.02135e-12	-3.92212e-20	6.06       	3.02394e-20	2.28608e-20	8.68011e-13	0          	0          	0          
1.3242e-12 	1.99066e-12	-3.48001e-20	6.12       	3.03674e-20	3.21137e-20	8.59116e-13	0          	0          	0          
1.29287e-12	1.96045e-12	-3.92285e-20	6.18       	3.03279e-20	2.30617e-20	8.57545e-13	0          	0          	0          
1.26194e-12	1.93105e-12	-3.39525e-20	6.24       	3.04355e-20	3.22779e-20	8.49161e-13	0          	0          	0          
1.232e-12  	1.90276e-12	-3.92353e-20	6.3        	3.04579e-20	2.32794e-20	8.48126e-13	0          	0          	0          
1.20224e-12	1.87463e-12	-3.31134e-20	6.36       	3.05319e-20	3.24903e-20	8.39379e-13	0          	0          	0          
1.1747e-12 	1.84875e-12	-3.91978e-20	6.42       	3.0625e-20 	2.35544e-20	8.38598e-13	0          	0          	0          
1.14747e-12	1.82164e-12	-3.24707e-20	6.48       	3.06249e-20	3.26115e-20	8.30347e-13	0          	0          	0          
1.1195e-12 	1.79714e-12	-3.90753e-20	6.54       	3.06876e-20	2.38403e-20	8.29712e-13	0          	0          	0          
1.09288e-12	1.7715e-12 	-3.18377e-20	6.6        	3.07771e-20	3.2756e-20 	8.21485e-13	0          	0          	0          
1.06804e-12	1.74859e-12	-3.89669e-20	6.66       	3.08126e-20	2.4126e-20 	8.2129e-13 	0          	0          	0          
1.04267e-12	1.72407e-12	-3.11699e-20	6.72       	3.08319e-20	3.28602e-20	8.12748e-13	0          	0          	0          
1.01817e-12	1.70319e-12	-3.89059e-20	6.78       	3.08716e-20	2.44404e-20	8.13123e-13	0          	0          	0          
9.94587e-13	1.679e-12  	-3.06513e-20	6.84       	3.09277e-20	3.28969e-20	8.04855e-13	0          	0          	0          
9.71195e-13	1.65957e-12	-3.87015e-20	6.9        	3.10042e-20	2.47905e-20	8.05168e-13	0          	0          	0          
9.49463e-13	1.63652e-12	-3.01869e-20	6.96       	3.10212e-20	3.29092e-20	7.9727e-13 	0          	0          	0          
9.27711e-13	1.61841e-12	-3.85045e-20	7.02       	3.11068e-20	2.5129e-20 	7.97582e-13	0          	0          	0          
9.05546e-13	1.59645e-12	-2.97181e-20	7.08       	3.109e-20  	3.29658e-20	7.89881e-13	0          	0          	0          
8.84791e-13	1.57953e-12	-3.83165e-20	7.14       	3.12255e-20	2.53895e-20	7.90604e-13	0          	0          	0          
8.64788e-13	1.55839e-12	-2.93398e-20	7.2        	3.12088e-20	3.30346e-20	7.82989e-13	0          	0          	0          
8.44713e-13	1.54258e-12	-3.81169e-20	7.26       	3.13331e-20	2.5714e-20 	7.83915e-13	0          	0          	0          
8.25734e-13	1.52215e-12	-2.89788e-20	7.32       	3.13228e-20	3.30965e-20	7.7624e-13 	0          	0          	0          
8.06538e-13	1.50765e-12	-3.78964e-20	7.38       	3.14616e-20	2.60558e-20	7.77301e-13	0          	0          	0          
7.87657e-13	1.48773e-12	-2.87288e-20	7.44       	3.14126e-20	3.30845e-20	7.70193e-13	0          	0          	0          
7.69734e-13	1.47387e-12	-3.75955e-20	7.5        	3.15415e-20	2.63961e-20	7.71035e-13	0          	0          	0          
7.52457e-13	1.4551e-12 	-2.84532e-20	7.56       	3.15337e-20	3.31082e-20	7.63837e-13	0          	0          	0          
7.35334e-13	1.44218e-12	-3.73645e-20	7.62       	3.1707e-20 	2.67186e-20	7.64847e-13	0          	0          	0          
7.17766e-13	1.42394e-12	-2.81463e-20	7.68       	3.16096e-20	3.31079e-20	7.57799e-13	0          	0          	0          
7.01531e-13	1.412e-12  	-3.71872e-20	7.74       	3.17778e-20	2.70084e-20	7.59251e-13	0          	0          	0          
6.85439e-13	1.39406e-12	-2.78608e-20	7.8        	3.17092e-20	3.31448e-20	7.52276e-13	0          	0          	0          
6.6953e-13 	1.38327e-12	-3.69391e-20	7.86       	3.19059e-20	2.73246e-20	7.53491e-13	0          	0          	0          
6.54323e-13	1.36613e-12	-2.76337e-20	7.92       	3.18233e-20	3.31814e-20	7.4696e-13 	0          	0          	0          
6.38848e-13	1.35586e-12	-3.6747e-20	7.98       	3.20102e-20	2.75779e-20	7.4823e-13 	0          	0          	0          
6.24475e-13	1.33928e-12	-2.7377e-20	8.04       	3.19367e-20	3.32813e-20	7.41872e-13	0          	0          	0          
6.09813e-13	1.32955e-12	-3.65278e-20	8.1        	3.2131e-20 	2.77327e-20	7.43476e-13	0          	0          	0          
5.9592e-13 	1.31362e-12	-2.71908e-20	8.16       	3.20392e-20	3.34164e-20	7.36795e-13	0          	0          	0          
5.82135e-13	1.30476e-12	-3.6292e-20	8.22       	3.2228e-20 	2.79918e-20	7.38493e-13	0          	0          	0          
