r          	Er(r)      	Ephi(r)    	Ez(r)      	Hr(r)      	Hphi(r)    	Hz(r)      	Jr(r)      	Jphi(r)    	Jz(r)      
38.808     	-6.9695e-14	4.04578e-12	-1.28905e-19	1.87041e-19	5.3289e-20 	1.77912e-12	0          	0          	0          
39.396     	-1.29903e-13	4.10732e-12	-6.87564e-20	1.94184e-19	3.139e-19  	1.57238e-12	0          	0          	0          
39.984     	-1.85785e-13	3.92503e-12	-6.59252e-20	1.87022e-19	7.76214e-20	1.79465e-12	0          	0          	0          
40.572     	-2.43519e-13	4.16989e-12	-1.4091e-19	2.01438e-19	2.81659e-19	1.76938e-12	0          	0          	0          
41.16      	-2.94858e-13	3.84004e-12	-7.31649e-21	1.88459e-19	1.3288e-19 	1.79068e-12	0          	0          	0          
41.748     	-3.49932e-13	4.20373e-12	-1.98793e-19	2.06981e-19	2.23302e-19	1.97679e-12	0          	0          	0          
42.336     	-3.98121e-13	3.81523e-12	2.69577e-20	1.9232e-19 	2.07287e-19	1.79681e-12	0          	0          	0          
42.924     	-4.49968e-13	4.18827e-12	-2.23651e-19	2.10138e-19	1.55599e-19	2.1608e-12 	0          	0          	0          
43.512     	-4.96103e-13	3.86277e-12	2.12656e-20	1.99033e-19	2.79887e-19	1.84787e-12	0          	0          	0          
44.1       	-5.44433e-13	4.11885e-12	-2.05013e-19	2.10877e-19	1.0222e-19 	2.28954e-12	0          	0          	0          
44.688     	-5.89549e-13	3.97373e-12	-2.79709e-20	2.08077e-19	3.26314e-19	1.96954e-12	0          	0          	0          
45.276     	-6.34005e-13	4.01536e-12	-1.47462e-19	2.10207e-19	8.59146e-20	2.34745e-12	0          	0          	0          
45.864     	-6.78653e-13	4.11486e-12	-1.07454e-19	2.17929e-19	3.28031e-19	2.16451e-12	0          	0          	0          
46.452     	-7.19679e-13	3.92051e-12	-7.26832e-20	2.10063e-19	1.18515e-19	2.3462e-12 	0          	0          	0          
47.04      	-7.63653e-13	4.23662e-12	-1.88458e-19	2.265e-19  	2.82115e-19	2.40525e-12	0          	0          	0          
47.628     	-8.0219e-13	3.88455e-12	-1.39256e-20	2.12545e-19	1.92437e-19	2.32898e-12	0          	0          	0          
48.216     	-8.44737e-13	4.29149e-12	-2.36683e-19	2.31886e-19	2.06981e-19	2.63728e-12	0          	0          	0          
48.804     	-8.82088e-13	3.94337e-12	-2.31518e-21	2.19041e-19	2.79463e-19	2.35596e-12	0          	0          	0          
49.392     	-9.22256e-13	4.25933e-12	-2.28613e-19	2.33453e-19	1.38213e-19	2.8019e-12 	0          	0          	0          
49.98      	-9.59594e-13	4.09417e-12	-4.98483e-20	2.29206e-19	3.40458e-19	2.47612e-12	0          	0          	0          
50.568     	-9.96889e-13	4.16682e-12	-1.66663e-19	2.32606e-19	1.13685e-19	2.86644e-12	0          	0          	0          
51.156     	-1.03466e-12	4.28735e-12	-1.38442e-19	2.40722e-19	3.44204e-19	2.69871e-12	0          	0          	0          
51.744     	-1.06932e-12	4.08109e-12	-8.36397e-20	2.32311e-19	1.52706e-19	2.85141e-12	0          	0          	0          
52.332     	-1.10726e-12	4.4434e-12 	-2.23906e-19	2.50225e-19	2.87365e-19	2.97451e-12	0          	0          	0          
52.92      	-1.14027e-12	4.08155e-12	-2.94361e-20	2.35906e-19	2.4053e-19 	2.82904e-12	0          	0          	0          
53.508     	-1.17717e-12	4.49558e-12	-2.57967e-19	2.55028e-19	2.02364e-19	3.21567e-12	0          	0          	0          
54.096     	-1.21013e-12	4.2089e-12 	-4.27091e-20	2.44881e-19	3.30442e-19	2.89011e-12	0          	0          	0          
54.684     	-1.24481e-12	4.43653e-12	-2.19008e-19	2.5513e-19 	1.43816e-19	3.34403e-12	0          	0          	0          
55.272     	-1.27872e-12	4.43039e-12	-1.2266e-19	2.57543e-19	3.68407e-19	3.08493e-12	0          	0          	0          
55.86      	-1.31088e-12	4.33704e-12	-1.32141e-19	2.53826e-19	1.55742e-19	3.34878e-12	0          	0          	0          
56.448     	-1.34559e-12	4.64539e-12	-2.22178e-19	2.6945e-19 	3.29214e-19	3.37936e-12	0          	0          	0          
57.036     	-1.3762e-12	4.31049e-12	-5.97175e-20	2.5596e-19 	2.38161e-19	3.30771e-12	0          	0          	0          
57.624     	-1.41061e-12	4.74734e-12	-2.74241e-19	2.76192e-19	2.40334e-19	3.66144e-12	0          	0          	0          
58.212     	-1.44116e-12	4.43514e-12	-6.06418e-20	2.64642e-19	3.38999e-19	3.34729e-12	0          	0          	0          
58.8       	-1.47378e-12	4.70391e-12	-2.40669e-19	2.76735e-19	1.70206e-19	3.81444e-12	0          	0          	0          
59.388     	-1.50556e-12	4.68462e-12	-1.4262e-19	2.7836e-19 	3.86041e-19	3.54826e-12	0          	0          	0          
59.976     	-1.53591e-12	4.59963e-12	-1.48329e-19	2.75029e-19	1.79939e-19	3.81384e-12	0          	0          	0          
60.564     	-1.56883e-12	4.92799e-12	-2.47287e-19	2.91333e-19	3.43208e-19	3.86918e-12	0          	0          	0          
61.152     	-1.59782e-12	4.58511e-12	-7.65507e-20	2.77543e-19	2.70618e-19	3.76404e-12	0          	0          	0          
61.74      	-1.63053e-12	5.02656e-12	-2.90771e-19	2.97785e-19	2.47445e-19	4.15991e-12	0          	0          	0          
62.328     	-1.65996e-12	4.75369e-12	-9.45058e-20	2.87952e-19	3.72841e-19	3.82883e-12	0          	0          	0          
62.916     	-1.69075e-12	4.95805e-12	-2.36293e-19	2.97187e-19	1.86686e-19	4.28111e-12	0          	0          	0          
63.504     	-1.72181e-12	5.04373e-12	-1.95139e-19	3.03199e-19	3.99993e-19	4.08673e-12	0          	0          	0          
64.092     	-1.75057e-12	4.85861e-12	-1.36109e-19	2.95706e-19	2.24672e-19	4.23994e-12	0          	0          	0          
64.68      	-1.78261e-12	5.27223e-12	-2.91074e-19	3.15307e-19	3.28972e-19	4.43862e-12	0          	0          	0          
65.268     	-1.81079e-12	4.91397e-12	-9.2218e-20	3.01194e-19	3.34923e-19	4.20806e-12	0          	0          	0          
